index_ccl,ccle_primary_histology
1,neuroblastoma
2,neuroblastoma
3,neuroblastoma
4,neuroblastoma
5,neuroblastoma
6,neuroblastoma
7,neuroblastoma
8,neuroblastoma
9,neuroblastoma
10,neuroblastoma
11,neuroblastoma
12,neuroblastoma
13,neuroblastoma
14,neuroblastoma
15,carcinoma
16,carcinoma
17,carcinoma
18,carcinoma
19,carcinoma
20,carcinoma
21,carcinoma
22,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
23,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
24,chondrosarcoma
25,osteosarcoma
26,osteosarcoma
27,carcinoma
28,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
29,osteosarcoma
30,osteosarcoma
31,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
32,osteosarcoma
33,osteosarcoma
34,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
35,Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor
36,carcinoma
37,osteosarcoma
38,carcinoma
39,carcinoma
40,carcinoma
41,carcinoma
42,carcinoma
43,carcinoma
44,carcinoma
45,carcinoma
46,carcinoma
47,carcinoma
48,carcinoma
49,carcinoma
50,carcinoma
51,carcinoma
52,carcinoma
53,carcinoma
54,carcinoma
55,carcinoma
56,carcinoma
57,carcinoma
58,carcinoma
59,carcinoma
60,carcinoma
61,carcinoma
62,carcinoma
63,carcinoma
64,carcinoma
65,carcinoma
66,malignant_melanoma
67,carcinoma
68,carcinoma
69,carcinoma
70,carcinoma
71,carcinoma
72,carcinoma
73,carcinoma
74,carcinoma
75,carcinoma
76,glioma
77,glioma
78,glioma
79,carcinoma
80,glioma
81,glioma
82,glioma
83,primitive_neuroectodermal_tumor_medulloblastoma
84,primitive_neuroectodermal_tumor_medulloblastoma
85,glioma
86,glioma
87,glioma
88,glioma
89,glioma
90,glioma
91,glioma
92,glioma
93,rhabdomyosarcoma
94,glioma
95,glioma
96,glioma
97,glioma
98,glioma
99,glioma
100,glioma
101,glioma
102,primitive_neuroectodermal_tumor_medulloblastoma
103,glioma
104,
105,glioma
106,
107,
108,glioma
109,glioma
110,glioma
111,glioma
112,glioma
113,glioma
114,glioma
115,glioma
116,glioma
117,glioma
118,glioma
119,glioma
120,glioma
121,glioma
122,glioma
123,
124,carcinoma
125,carcinoma
126,carcinoma
127,carcinoma
128,carcinoma
129,carcinoma
130,carcinoma
131,carcinoma
132,carcinoma
133,carcinoma
134,carcinoma
135,carcinoma
136,carcinoma
137,carcinoma
138,carcinoma
139,carcinoma
140,carcinoma
141,carcinoma
142,carcinoma
143,carcinoma
144,carcinoma
145,carcinoma
146,carcinoma
147,carcinoma
148,carcinoma
149,lymphoid_neoplasm
150,haematopoietic_neoplasm
151,lymphoid_neoplasm
152,haematopoietic_neoplasm
153,lymphoid_neoplasm
154,lymphoid_neoplasm
155,lymphoid_neoplasm
156,lymphoid_neoplasm
157,haematopoietic_neoplasm
158,lymphoid_neoplasm
159,lymphoid_neoplasm
160,haematopoietic_neoplasm
161,lymphoid_neoplasm
162,carcinoma
163,carcinoma
164,carcinoma
165,carcinoma
166,carcinoma
167,carcinoma
168,carcinoma
169,carcinoma
170,carcinoma
171,carcinoma
172,carcinoma
173,carcinoma
174,carcinoma
175,carcinoma
176,carcinoma
177,carcinoma
178,carcinoma
179,carcinoma
180,carcinoma
181,carcinoma
182,carcinoma
183,carcinoma
184,carcinoma
185,carcinoma
186,carcinoma
187,carcinoma
188,carcinoma
189,carcinoma
190,carcinoma
191,carcinoma
192,carcinoma
193,carcinoma
194,carcinoma
195,carcinoma
196,carcinoma
197,carcinoma
198,carcinoma
199,carcinoma
200,carcinoma
201,carcinoma
202,carcinoma
203,carcinoma
204,carcinoma
205,carcinoma
206,carcinoma
207,carcinoma
208,carcinoma
209,carcinoma
210,carcinoma
211,carcinoma
212,carcinoma
213,carcinoma
214,carcinoma
215,carcinoma
216,carcinoma
217,carcinoma
218,carcinoma
219,carcinoma
220,carcinoma
221,carcinoma
222,carcinoma
223,carcinoma
224,carcinoma
225,carcinoma
226,carcinoma
227,carcinoma
228,glioma
229,carcinoma
230,carcinoma
231,carcinoma
232,carcinoma
233,carcinoma
234,carcinoma
235,
236,carcinoma
237,carcinoma
238,carcinoma
239,carcinoma
240,carcinoma
241,carcinoma
242,carcinoma
243,carcinoma
244,chondrosarcoma
245,carcinoma
246,carcinoma
247,carcinoma
248,carcinoma
249,carcinoma
250,carcinoma
251,carcinoma
252,carcinoma
253,carcinoma
254,carcinoma
255,carcinoma
256,carcinoma
257,carcinoma
258,carcinoma
259,carcinoma
260,carcinoma
261,
262,carcinoma
263,carcinoma
264,carcinoma
265,carcinoma
266,carcinoma
267,carcinoma
268,carcinoma
269,carcinoma
270,
271,carcinoma
272,carcinoma
273,carcinoma
274,carcinoma
275,carcinoma
276,carcinoma
277,carcinoma
278,carcinoma
279,carcinoma
280,carcinoma
281,carcinoma
282,carcinoma
283,carcinoma
284,carcinoma
285,carcinoma
286,carcinoma
287,carcinoma
288,carcinoma
289,
290,
291,carcinoma
292,carcinoma
293,carcinoma
294,carcinoma
295,carcinoma
296,carcinoma
297,carcinoma
298,carcinoma
299,carcinoma
300,carcinoma
301,carcinoma
302,carcinoma
303,carcinoma
304,carcinoma
305,carcinoma
306,carcinoma
307,carcinoma
308,carcinoma
309,carcinoma
310,carcinoma
311,carcinoma
312,carcinoma
313,carcinoma
314,carcinoma
315,carcinoma
316,carcinoma
317,carcinoma
318,carcinoma
319,carcinoma
320,carcinoma
321,carcinoma
322,carcinoma
323,malignant_melanoma
324,carcinoma
325,carcinoma
326,carcinoma
327,carcinoma
328,carcinoma
329,carcinoma
330,carcinoma
331,carcinoma
332,carcinoma
333,carcinoma
334,carcinoma
335,carcinoma
336,carcinoma
337,carcinoma
338,carcinoma
339,carcinoma
340,carcinoma
341,carcinoma
342,carcinoma
343,carcinoma
344,carcinoma
345,carcinoma
346,carcinoma
347,mesothelioma
348,carcinoma
349,carcinoma
350,carcinoma
351,carcinoma
352,carcinoma
353,carcinoma
354,carcinoma
355,carcinoma
356,carcinoma
357,carcinoma
358,carcinoma
359,carcinoma
360,carcinoma
361,carcinoma
362,carcinoma
363,carcinoma
364,carcinoma
365,carcinoma
366,carcinoma
367,carcinoid_endocrine_tumor
368,carcinoma
369,carcinoma
370,carcinoma
371,carcinoma
372,carcinoma
373,carcinoma
374,carcinoma
375,carcinoma
376,carcinoma
377,carcinoma
378,carcinoma
379,carcinoma
380,carcinoma
381,carcinoma
382,carcinoma
383,carcinoma
384,carcinoma
385,carcinoma
386,carcinoma
387,carcinoma
388,carcinoma
389,carcinoma
390,carcinoma
391,carcinoma
392,carcinoma
393,carcinoma
394,carcinoma
395,carcinoma
396,carcinoma
397,
398,carcinoma
399,carcinoma
400,carcinoma
401,carcinoma
402,carcinoma
403,carcinoma
404,carcinoma
405,carcinoma
406,carcinoma
407,carcinoma
408,carcinoma
409,carcinoma
410,carcinoma
411,carcinoma
412,sex_cord_stromal_tumor
413,carcinoma
414,
415,carcinoma
416,carcinoma
417,carcinoma
418,carcinoma
419,carcinoma
420,carcinoma
421,carcinoma
422,carcinoma
423,carcinoma
424,carcinoma
425,carcinoma
426,carcinoma
427,carcinoma
428,carcinoma
429,carcinoma
430,carcinoma
431,carcinoma
432,carcinoma
433,carcinoma
434,
435,carcinoma
436,carcinoma
437,carcinoma
438,carcinoma
439,carcinoma
440,carcinoma
441,carcinoma
442,carcinoma
443,carcinoma
444,carcinoma
445,carcinoma
446,carcinoma
447,carcinoma
448,carcinoma
449,carcinoma
450,carcinoma
451,carcinoma
452,carcinoma
453,carcinoma
454,carcinoma
455,carcinoma
456,carcinoma
457,carcinoma
458,carcinoma
459,carcinoma
460,carcinoma
461,carcinoma
462,carcinoma
463,carcinoma
464,carcinoma
465,carcinoma
466,carcinoma
467,carcinoma
468,carcinoma
469,carcinoma
470,carcinoma
471,carcinoma
472,malignant_melanoma
473,carcinoma
474,carcinoma
475,carcinoma
476,carcinoma
477,carcinoma
478,carcinoma
479,carcinoma
480,carcinoma
481,carcinoma
482,carcinoma
483,carcinoma
484,carcinoma
485,carcinoma
486,carcinoma
487,carcinoma
488,carcinoma
489,mesothelioma
490,carcinoma
491,mesothelioma
492,mesothelioma
493,mesothelioma
494,mesothelioma
495,mesothelioma
496,carcinoma
497,mesothelioma
498,carcinoma
499,carcinoma
500,carcinoma
501,carcinoma
502,carcinoma
503,carcinoma
504,carcinoma
505,malignant_melanoma
506,malignant_melanoma
507,malignant_melanoma
508,malignant_melanoma
509,malignant_melanoma
510,carcinoma
511,malignant_melanoma
512,carcinoma
513,malignant_melanoma
514,malignant_melanoma
515,malignant_melanoma
516,malignant_melanoma
517,malignant_melanoma
518,malignant_melanoma
519,malignant_melanoma
520,malignant_melanoma
521,malignant_melanoma
522,malignant_melanoma
523,carcinoma
524,malignant_melanoma
525,malignant_melanoma
526,malignant_melanoma
527,malignant_melanoma
528,malignant_melanoma
529,malignant_melanoma
530,malignant_melanoma
531,malignant_melanoma
532,malignant_melanoma
533,malignant_melanoma
534,malignant_melanoma
535,malignant_melanoma
536,malignant_melanoma
537,malignant_melanoma
538,malignant_melanoma
539,malignant_melanoma
540,malignant_melanoma
541,malignant_melanoma
542,malignant_melanoma
543,malignant_melanoma
544,malignant_melanoma
545,malignant_melanoma
546,malignant_melanoma
547,malignant_melanoma
548,malignant_melanoma
549,malignant_melanoma
550,malignant_melanoma
551,malignant_melanoma
552,malignant_melanoma
553,malignant_melanoma
554,malignant_melanoma
555,malignant_melanoma
556,rhabdoid_tumor
557,rhabdoid_tumor
558,rhabdoid_tumor
559,malignant_fibrous_histiocytoma_pleomorphic_sarcoma
560,rhabdomyosarcoma
561,fibrosarcoma
562,rhabdomyosarcoma
563,sarcoma
564,rhabdomyosarcoma
565,glioma
566,rhabdomyosarcoma
567,rhabdomyosarcoma
568,leiomyosarcoma
569,carcinoma
570,sarcoma
571,leiomyosarcoma
572,carcinoma
573,rhabdomyosarcoma
574,rhabdomyosarcoma
575,carcinoma
576,carcinoma
577,carcinoma
578,carcinoma
579,carcinoma
580,carcinoma
581,carcinoma
582,carcinoma
583,carcinoma
584,carcinoma
585,carcinoma
586,carcinoma
587,carcinoma
588,carcinoma
589,carcinoma
590,carcinoma
591,carcinoma
592,carcinoma
593,carcinoma
594,carcinoma
595,carcinoma
596,carcinoma
597,carcinoma
598,carcinoma
599,carcinoma
600,carcinoma
601,carcinoma
602,carcinoma
603,carcinoma
604,carcinoma
605,carcinoma
606,carcinoma
607,carcinoma
608,carcinoma
609,carcinoma
610,carcinoma
611,carcinoma
612,carcinoma
613,carcinoma
614,carcinoma
615,carcinoma
616,carcinoma
617,carcinoma
618,carcinoma
619,carcinoma
620,carcinoma
621,carcinoma
622,carcinoma
623,carcinoma
624,carcinoma
625,carcinoma
626,carcinoma
627,carcinoma
628,carcinoma
629,carcinoma
630,carcinoma
631,carcinoma
632,carcinoma
633,carcinoma
634,carcinoma
635,carcinoma
636,carcinoma
637,carcinoma
638,carcinoma
639,carcinoma
640,carcinoma
641,carcinoma
642,carcinoma
643,carcinoma
644,carcinoma
645,carcinoma
646,carcinoma
647,carcinoma
648,carcinoma
649,carcinoma
650,carcinoma
651,leiomyosarcoma
652,carcinoma
653,carcinoma
654,carcinoma
655,carcinoma
656,carcinoma
657,carcinoma
658,glioma
659,carcinoma
660,carcinoma
661,carcinoma
662,carcinoma
663,carcinoma
664,carcinoma
